timestamp,demand,Comment here!
1/19/2021 15:02:38,Pass gun control legislation ,
1/19/2021 15:57:33,Ban the use of harmful chemicals like glyphosphate. ,
1/19/2021 15:58:52,Cancel all student debt ,
1/19/2021 15:59:19,Abolish ICE,duplicate of 4
1/19/2021 18:37:40,fund education and training programs for green jobs,
1/19/2021 18:48:15,Prioritize a just transition off of fossil fuels,
1/20/2021 9:40:33,$15 minimum wage!!!,duplicate of 20
1/20/2021 17:13:34,Boost Union Membership ,
1/20/2021 19:03:03,Declare a national climate emergency under the National Emergencies Act,
1/20/2021 19:07:32,Extend the eviction moratorium,
1/20/2021 19:08:01,Free Public College,
1/20/2021 19:08:46,Nationalize the oil and gas industries,
1/20/2021 19:09:07,Abolish the CIA,
1/20/2021 19:10:29,Federal Jobs Program,
1/20/2021 19:10:35,Provide reparations for Black Americans,
1/20/2021 19:20:58,Create a Just Transition for frontline communities,
1/20/2021 19:26:28,Defund highways to invest in public transit,
1/20/2021 19:27:56,Legalize Cannabis ,
1/20/2021 19:28:56,Expand rural broadband,
1/20/2021 19:29:52,Abolish the Electoral College,
1/20/2021 19:31:31,Postal Banking,
1/20/2021 19:33:48,Shut Down Oil and Gas Leasing on Federal Lands,
1/20/2021 19:39:22,Pass the Green New Deal Resolution,
1/20/2021 19:58:57,End the war in Yemen,
1/20/2021 20:09:06,Automatic Voter Registration,
1/20/2021 20:09:36,Reinstate the Voting Rights Act,
1/20/2021 20:24:40,Health Care Emergency Guarantee Act,
1/20/2021 20:24:47,Mint the Coin,
1/20/2021 20:25:28,Cancel Rent,
1/20/2021 20:25:53,Cancel bills,
1/20/2021 20:26:13,end the filibuster,
1/20/2021 20:27:18,Green Infrastructure Plan,
1/20/2021 20:28:02,Veto the Patriot Act,
1/20/2021 20:35:37,Stop Line 3,
1/20/2021 20:37:21,End Citizens United,
1/20/2021 20:38:43,Universal Pre-K,
1/20/2021 20:39:15,UBI,
1/20/2021 20:42:31,Expel the Insurrectionists,
1/20/2021 20:45:07,Close GITMO,
1/20/2021 20:45:50,Pardon Assange,
1/20/2021 20:45:58,Pardon Snowden,
1/20/2021 20:47:05,DC Statehood,
1/25/2021 19:09:21,Civilian Climate Corps,
1/25/2021 19:11:36,Moratorium on Utility Shut-Offs,
1/25/2021 19:11:55,State and Local Aid,
1/25/2021 19:13:23,Sign the UN Declaration on the Rights of Indigenous Peoples,
1/25/2021 19:15:39,Invest in the Green Climate Fund,
